activity,androidx.drawerlayout.widget.DrawerLayout,drawer_layout
activity,LinearLayout,drawer_roots
activity,FrameLayout,container_info
activity,androidx.appcompat.widget.Toolbar,toolbar
activity,FrameLayout,container_rate
activity,FrameLayout,container_save
activity,androidx.appcompat.widget.Toolbar,roots_toolbar
activity,FrameLayout,container_roots
activity,Spinner,stack
activity_about,androidx.appcompat.widget.Toolbar,toolbar
activity_about,TextView,logo
activity_about,dev.dworks.apps.anexplorer.ui.CompatTextView,action_rate
activity_about,dev.dworks.apps.anexplorer.ui.CompatTextView,action_support
activity_about,dev.dworks.apps.anexplorer.ui.CompatTextView,action_sponsor
activity_about,dev.dworks.apps.anexplorer.ui.CompatTextView,action_share
activity_about,dev.dworks.apps.anexplorer.ui.CompatTextView,action_feedback
activity_note,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progress
activity_note,EditText,input
activity_queue,androidx.appcompat.widget.Toolbar,toolbar
activity_queue,FrameLayout,container
activity_webview,androidx.appcompat.widget.Toolbar,toolbar
activity_webview,WebView,webview
dialog_colors,GridLayout,color_grid
dialog_create_connection,LinearLayout,hostContainer
dialog_create_connection,LinearLayout,pathContainer
dialog_create_connection,androidx.appcompat.widget.AppCompatCheckBox,anonymous
dialog_create_connection,com.google.android.material.textfield.TextInputLayout,usernameContainer
dialog_create_connection,com.google.android.material.textfield.TextInputLayout,passwordContainer
dialog_create_connection,androidx.appcompat.widget.AppCompatSpinner,scheme
dialog_create_connection,androidx.appcompat.widget.AppCompatEditText,username
dialog_create_connection,androidx.appcompat.widget.AppCompatEditText,password
dialog_create_connection,androidx.appcompat.widget.AppCompatEditText,name
dialog_create_connection,androidx.appcompat.widget.AppCompatEditText,host
dialog_create_connection,androidx.appcompat.widget.AppCompatEditText,port
dialog_create_connection,androidx.appcompat.widget.AppCompatEditText,path
dialog_create_dir,EditText,text1
directory_layout,androidx.coordinatorlayout.widget.CoordinatorLayout,content_view
directory_layout,dev.dworks.apps.anexplorer.ui.DirectoryContainerView,container_directory
fab_layout,dev.dworks.apps.anexplorer.ui.FloatingActionsMenu,fabs
fab_layout_connections,dev.dworks.apps.anexplorer.ui.FloatingActionsMenu,fabs
fab_menu_item_end,FrameLayout,card_view
fab_menu_item_end,com.google.android.material.floatingactionbutton.FloatingActionButton,mini_fab
fab_menu_item_end,TextView,title_view
fab_menu_item_start,com.google.android.material.floatingactionbutton.FloatingActionButton,mini_fab
fab_menu_item_start,FrameLayout,card_view
fab_menu_item_start,TextView,title_view
fab_speed_dial_bottom,LinearLayout,menu_items_layout
fab_speed_dial_bottom,com.google.android.material.floatingactionbutton.FloatingActionButton,fab
fab_speed_dial_top,com.google.android.material.floatingactionbutton.FloatingActionButton,fab
fab_speed_dial_top,LinearLayout,menu_items_layout
fragment_connections,LinearLayout,progressContainer
fragment_connections,FrameLayout,listContainer
fragment_connections,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progressBar
fragment_connections,dev.dworks.apps.anexplorer.ui.RecyclerViewPlus,recyclerview
fragment_connections,dev.dworks.apps.anexplorer.ui.CompatTextView,empty
fragment_detail,FrameLayout,icon
fragment_detail,dev.dworks.apps.anexplorer.ui.CircleImage,icon_mime_background
fragment_detail,ImageView,icon_mime
fragment_detail,ImageView,icon_thumb
fragment_detail,TextView,name
fragment_detail,LinearLayout,contents_layout
fragment_detail,LinearLayout,path_layout
fragment_detail,TextView,type
fragment_detail,TextView,size
fragment_detail,TextView,contents
fragment_detail,TextView,modified
fragment_detail,TextView,path
fragment_directory,LinearLayout,progressContainer
fragment_directory,FrameLayout,listContainer
fragment_directory,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progressBar
fragment_directory,dev.dworks.apps.anexplorer.ui.CompatTextView,empty
fragment_directory,dev.dworks.apps.anexplorer.ui.RecyclerViewPlus,recyclerview
fragment_home,LinearLayout,progressContainer
fragment_home,FrameLayout,listContainer
fragment_home,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progressBar
fragment_home,dev.dworks.apps.anexplorer.ui.RecyclerViewPlus,recyclerview
fragment_home,dev.dworks.apps.anexplorer.ui.CompatTextView,empty
fragment_list_content,LinearLayout,progressContainer
fragment_list_content,FrameLayout,listContainer
fragment_list_content,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progressBar
fragment_list_content,TextView,loading
fragment_list_content,ListView,list
fragment_list_content,TextView,internalEmpty
fragment_mini_controller,fragment,casty_mini_controller
fragment_move,dev.dworks.apps.anexplorer.ui.CommonFrameLayout,background
fragment_move,ImageButton,button2
fragment_move,TextView,title
fragment_move,TextView,text1
fragment_move,ImageButton,button1
fragment_move,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progress
fragment_pick,Button,button1
fragment_queue,LinearLayout,progressContainer
fragment_queue,FrameLayout,listContainer
fragment_queue,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progressBar
fragment_queue,dev.dworks.apps.anexplorer.ui.RecyclerViewPlus,recyclerview
fragment_queue,dev.dworks.apps.anexplorer.ui.CompatTextView,empty
fragment_recents_create,LinearLayout,progressContainer
fragment_recents_create,FrameLayout,listContainer
fragment_recents_create,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progressBar
fragment_recents_create,dev.dworks.apps.anexplorer.ui.CompatTextView,empty
fragment_recents_create,ListView,list
fragment_recycler_content,LinearLayout,progressContainer
fragment_recycler_content,FrameLayout,listContainer
fragment_recycler_content,dev.dworks.apps.anexplorer.ui.MaterialProgressBar,progressBar
fragment_recycler_content,TextView,loading
